address,price,pris_per_kvm,rum,van,kvm,date,kvm_tomt,housing_type,monthly_fee,build_year,utropspris
Thottsgatan 16A,4650000,65500,2,4,71,2025-06-27,,Lägenhet,4718,1929,4795000
Vendelsfridsgatan 4E,1815000,22300,4,4,81,2025-06-27,,Lägenhet,5301,1958,1795000
Lugna gatan 50,3225000,41900,3,7,77,2025-06-27,,Lägenhet,6676,1978,2950000
Spårvägen 28A,1495000,40400,1,4,37,2025-06-27,,Lägenhet,2973,2020,1495000
Aktrisgatan 20,1695000,21600,3,4,78,2025-06-27,,Lägenhet,5130,1972,1695000
Eslövsgatan 9G,1995000,38400,2,2,52,2025-06-27,,Lägenhet,3298,1936,1995000
Saarisvägen 14A,700000,21200,1,5,33,2025-06-27,,Lägenhet,3153,1938,795000
Föreningsgatan 65A,4000000,37000,3,1,108,2025-06-27,,Lägenhet,6587,1928,4150000
Hjorttackegatan 1,4200000,64600,2,2,65,2025-06-27,,Lägenhet,3925,1907,4395000
Lagmansgatan 3C,1795000,30400,2,1,59,2025-06-27,,Lägenhet,3943,1964,1795000
Solvändegatan 5C,930000,16000,2,1,58,2025-06-27,,Lägenhet,3923,1959,995000
Erikslustvägen 42J,2300000,34800,3,2,66,2025-06-27,,Lägenhet,4650,1953,2300000
Per Albin Hanssons väg 56B,1450000,19500,3,9,74,2025-06-26,,Lägenhet,6372,1957,1450000
Köpmansgatan 14,650000,9800,2,4,66,2025-06-26,,Lägenhet,4835,1946,595000
Västanväg 47A,1100000,22000,1,2,50,2025-06-26,,Lägenhet,3813,1947,1195000
Sofierogatan 4D,1450000,27400,2,3,53,2025-06-26,,Lägenhet,3242,1944,1395000
Törnskärsgatan 2A,2400000,48000,2,4,50,2025-06-26,,Lägenhet,2941,1936,2495000
Sveagatan 98C,1875000,31800,2,3,59,2025-06-26,,Lägenhet,3992,1949,1895000
Klubbegatan 8A,1382000,26800,2,3,51,2025-06-26,,Lägenhet,3279,1960,1395000
Torupsgatan 1A,1825000,32600,2,2,56,2025-06-26,,Lägenhet,4083,1953,1850000
Mariedalsvägen 49C,1950000,39000,2,3,50,2025-06-26,,Lägenhet,4452,1954,1995000
Dockgatan 11,8000000,70800,4,5,113,2025-06-26,,Lägenhet,5906,2013,7895000
Ängelholmsgatan 10C,2300000,41800,2,4,55,2025-06-26,,Lägenhet,5242,1910,2495000
Östra Rönneholmsvägen 27A,2495000,54200,2,3,46,2025-06-26,,Lägenhet,2851,1937,2495000
Arkitektgatan 33,2875000,34200,3,2,84,2025-06-26,,Lägenhet,5660,1967,2895000
Kollegiegatan 3A,750000,18100,1,4,41,2025-06-26,,Lägenhet,2367,1961,795000
Serenadgatan 17,1200000,15000,3,3,80,2025-06-26,,Lägenhet,6038,1972,1145000
Regementsgatan 21,5170000,68000,3,6,76,2025-06-26,,Lägenhet,4389,1929,4995000
Kvartettgatan 48,1450000,18100,3,2,80,2025-06-26,,Lägenhet,6038,1972,1475000
Axel Danielssons väg 81,1500000,18800,3,1,80,2025-06-26,,Lägenhet,5194,1973,1595000
Stormastgatan 9,2405000,51200,2,3,47,2025-06-25,,Lägenhet,2969,2016,2395000
Kristianstadsgatan 20,2500000,32500,3,4,77,2025-06-25,,Lägenhet,7514,1933,2595000
Stadiongatan 49A,1795000,23800,3,8,75,2025-06-25,,Lägenhet,4982,1958,1795000
Folketshusvägen 9,2700000,32500,3,1,83,2025-06-25,,Lägenhet,5631,2021,2900000
Disponentgatan 29,4800000,45700,4,4,105,2025-06-25,,Lägenhet,5962,1931,4995000
Husargatan 8,4350000,51200,3,2,85,2025-06-25,,Lägenhet,5409,1909,4295000
Bokhållaregatan 33,6200000,40300,4,3,154,2025-06-25,,Lägenhet,8425,1932,6795000
Balladgatan 5,1400000,17000,3,2,82,2025-06-25,,Lägenhet,5030,1971,1495000
Fredriksbergsgatan 8,995000,41500,1,5,24,2025-06-25,,Lägenhet,1686,1930,995000
Regementsgatan 13,6300000,55300,5,5,114,2025-06-25,,Lägenhet,7281,1929,6495000
Östra Varvsgatan 3BC,2650000,48200,2,2,55,2025-06-25,,Lägenhet,4459,,2695000
Närkesgatan 3,850000,36200,1,1,23,2025-06-25,,Lägenhet,2079,1957,795000
