address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Mäster Danielsgatan 3,2550000,33100,3,3,77,2025-06-30,,Lägenhet,6828,1930,2695000,3
Solhöjdsgatan 19,4350000,53000,3,6,82,2025-06-30,,Lägenhet,5855,2021,4445000,3
Scaniaplatsen 21,4000000,49400,3,4,81,2025-06-30,,Lägenhet,7010,2005,3995000,3
Mellanhedsgatan 22A,1237500,45800,1,1,27,2025-06-30,,Lägenhet,2212,1953,1250000,3
Ängdalavägen 30,2405000,40100,2,2,60,2025-06-30,,Lägenhet,3500,1959,2395000,3
Hyllie Allé 32B,2800000,36800,3,3,76,2025-06-30,,Lägenhet,5558,2019,2995000,3
Sundholmsgatan 28,2750000,32700,3,3,84,2025-06-30,,Lägenhet,6415,1992,2895000,3
Ahrenbergsgatan 10,2160000,30900,3,2,70,2025-06-30,,Lägenhet,5700,2019,2245000,3
Stora Kvarngatan 16,4600000,35700,5,2,129,2025-06-29,,Lägenhet,7238,1894,4795000,4
Västanväg 43C,1425000,30300,1,3,47,2025-06-29,,Lägenhet,3645,1947,1695000,4
Norra Bulltoftavägen 45A,1710000,25500,3,2,67,2025-06-29,,Lägenhet,4964,1951,1750000,4
Rantzowgatan 9C,1175000,23300,2,2,50,2025-06-29,,Lägenhet,4409,1946,1195000,4
Sankt Knuts väg 6A,1850000,44300,2,1,41,2025-06-29,,Lägenhet,2438,1931,1895000,4
Norra Tennisgränd 4,2890000,37100,3,1,78,2025-06-28,,Lägenhet,5521,2018,2950000,4
Lilla Varvsgatan 19A,2400000,47100,2,3,51,2025-06-29,,Lägenhet,3457,2018,2495000,4
Kronetorpsgatan 98C,1425000,16600,4,1,86,2025-06-28,,Lägenhet,6631,1964,1425000,4
Blekingsborgsgatan 11,1295000,24400,2,3,53,2025-06-28,,Lägenhet,4262,1957,1395000,4
Henrik Wranérsgatan 1C,2895000,42600,2,4,68,2025-06-28,,Lägenhet,4557,,2895000,4
Ingenjörsgatan 6,3050000,29500,4,6,103,2025-06-28,,Lägenhet,6166,1967,3395000,4
Roskildevägen 31B,1900000,37600,2,2,50,2025-06-28,,Lägenhet,4561,1947,1995000,4
Regementsgatan 56A,2250000,44600,2,5,50,2025-06-28,,Lägenhet,3729,1939,2250000,4
Falsterbogatan 20,2195000,34300,2,4,64,2025-06-28,,Lägenhet,4634,1936,2195000,4
Kapellplan 1,2495000,38400,2,1,65,2025-06-28,,Lägenhet,4783,1934,2495000,4
Sergels väg 12B,7545000,51300,5,3,147,2025-06-27,,Lägenhet,6711,1957,7495000,4
Nicoloviusgatan 8B,8375000,63400,6,6,132,2025-06-27,,Lägenhet,,,,4
Barlastgatan 4,2295000,45000,2,5,51,2025-06-27,,Lägenhet,3722,2022,2295000,4
Östra Rönneholmsvägen 6B,7995000,41600,6,2,192,2025-06-27,,Lägenhet,9830,1910,7995000,4
Friggs gränd 4,3800000,39200,4,4,97,2025-06-27,,Lägenhet,6143,2020,3950000,4
Vendelsfridsgatan 4E,1815000,22300,4,4,81,2025-06-27,,Lägenhet,5301,1958,1795000,4
Lugna gatan 50,3225000,41900,3,7,77,2025-06-27,,Lägenhet,6676,1978,2950000,4
Thottsgatan 16A,4650000,65500,2,4,71,2025-06-27,,Lägenhet,4718,1929,4795000,4
Spårvägen 28A,1495000,40400,1,4,37,2025-06-27,,Lägenhet,2973,2020,1495000,4
Aktrisgatan 20,1695000,21600,3,4,78,2025-06-27,,Lägenhet,5130,1972,1695000,4
Saarisvägen 14A,700000,21200,1,5,33,2025-06-27,,Lägenhet,3153,1938,795000,4
