address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Dockgatan 11,4030000,56800,3,3,71,2025-02-25,,Lägenhet,4209,2013,3995000,57
Kramersvägen 2A,1700000,31500,2,1,54,2025-02-25,,Lägenhet,4621,1954,1795000,58
Jägersrovägen 13A,1050000,20000,2,3,52,2025-02-25,,Lägenhet,4099,1960,1095000,58
Eriksdalsgatan 3B,1495000,25300,2,3,59,2025-02-25,,Lägenhet,3901,1961,1495000,58
Ribevägen 22B,1795000,32900,2,3,54,2025-02-25,,Lägenhet,4099,,1795000,58
Sundholmsgatan 14A,2050000,46600,2,4,44,2025-02-25,,Lägenhet,3439,2019,2095000,58
Skansgatan 5,2795000,42300,2,6,66,2025-02-25,,Lägenhet,4112,1990,2795000,58
Lagmansgatan 2C,3385000,32200,4,3,105,2025-02-25,,Lägenhet,6862,1965,3495000,58
Dagvattengatan 8C,3350000,40400,3,3,83,2025-02-25,,Lägenhet,7007,2023,3495000,58
Lotsgatan 23A,2445000,36500,2,1,67,2025-02-25,,Lägenhet,4082,1996,2595000,58
Östra Kristinelundsvägen 13,2100000,38200,2,1,55,2025-02-25,,Lägenhet,5036,,1995000,58
Kilian Zollsgatan 28A,3175000,44100,2,1,72,2025-02-25,,Lägenhet,4528,,2995000,58
Verkstadsgatan 8,4500000,70900,2,4,63,2025-02-24,,Lägenhet,4623,,4495000,58
Kvartettgatan 16,1775000,22200,3,1,80,2025-02-25,,Lägenhet,,,,58
Slussplan 3B,3500000,63600,2,5,55,2025-02-24,,Lägenhet,3157,2013,3395000,58
Amiralsgatan 38,2395000,39300,2,1,61,2025-02-24,,Lägenhet,4489,1929,2395000,58
Ronnebygatan 3D,1600000,38000,2,1,42,2025-02-24,,Lägenhet,2958,1936,1695000,58
Ellstorpsgatan 3C,1150000,27400,1,1,42,2025-02-24,,Lägenhet,3991,1944,1195000,58
Amiralsgatan 46C,2200000,38600,2,1,57,2025-02-24,,Lägenhet,4019,1936,1995000,58
Dalslandsgatan 6,1200000,24500,2,1,49,2025-02-24,,Lägenhet,3653,1937,1250000,58
Lertegelvägen 12,1400000,14400,3,,97,2025-02-24,,Lägenhet,6099,1982,1595000,58
Norrbäcksgatan 31,1160000,18100,2,1,64,2025-02-24,,Lägenhet,4232,,1195000,58
Värnhemsgatan 13,2250000,33100,3,5,68,2025-02-24,,Lägenhet,5944,1935,2195000,58
Köpenhamnsvägen 41B,2295000,39200,2,4,58,2025-02-23,,Lägenhet,5055,1952,2295000,58
Kolsyregatan 16,3095000,37700,3,2,82,2025-02-24,,Lägenhet,6374,2020,3095000,58
Neptunigatan 71,3250000,65000,2,5,50,2025-02-24,,Lägenhet,4344,2023,3295000,58
Amiralsgatan 83H,1050000,20200,2,1,52,2025-02-23,,Lägenhet,4808,1947,1050000,58
Ronnebygatan 18,3130000,42900,2,3,73,2025-02-23,,Lägenhet,4261,1937,2995000,58
Sallerupsvägen 26A,1250000,23400,2,2,53,2025-02-22,,Lägenhet,3932,1939,1295000,58
Hyacintgatan 41,1095000,22600,2,4,48,2025-02-23,,Lägenhet,3626,1973,1095000,58
Köpenhamnsvägen 5C,1645000,41100,1,2,40,2025-02-22,,Lägenhet,,,,58
Grönalundsgatan 5B,1295000,24000,2,,54,2025-02-21,,Lägenhet,,,,58
Södra Tennisgränd 21,3900000,38600,4,,101,2025-02-22,,Lägenhet,5767,2021,3995000,58
Rödkullastigen 3B,1410000,16400,4,3,86,2025-02-22,,Lägenhet,6681,1959,1445000,58
Solters Plan 1B,2295000,47000,2,2,48,2025-02-21,,Lägenhet,3134,1939,2295000,58
Thomsons väg 10,700000,10600,2,5,66,2025-02-21,,Lägenhet,4760,1970,695000,58
Kvartettgatan 26,1350000,16900,3,2,80,2025-02-21,,Lägenhet,6038,1972,1395000,59
Brobygatan 2B,995000,24300,1,2,41,2025-02-21,,Lägenhet,3659,,995000,59
Einar Hansens Esplanad 14,2195000,45700,2,7,48,2025-02-21,,Lägenhet,4117,2017,2195000,59
Carl Flormansgatan 17,2810000,31900,4,5,88,2025-02-21,,Lägenhet,7791,2017,2745000,59
Ehrensvärdsgatan 9,2295000,36700,3,1,62,2025-02-21,,Lägenhet,5211,1935,2295000,59
Västra Kristinelundsvägen 37B,3100000,44300,3,3,70,2025-02-21,,Lägenhet,5399,1948,2995000,59
Bobergsängen 6B,2535000,26600,4,1,95,2025-02-21,,Lägenhet,7774,1948,2595000,59
Kilian Zollsgatan 1B,1900000,50000,1,2,38,2025-02-21,,Lägenhet,2464,1938,1795000,59
Flensburgsgatan 5,1820000,27800,3,1,65,2025-02-21,,Lägenhet,5114,,1850000,59
Packhusgatan 31A,2630000,47800,2,1,55,2025-02-21,,Lägenhet,3635,2023,2795000,59
Berguvsgatan 2A,1400000,24300,2,5,57,2025-02-21,,Lägenhet,3584,1962,1450000,59
Barometergatan 40,5495000,63600,3,3,86,2025-02-21,,Lägenhet,6183,2005,5495000,59
Lönnebergagatan 29A,1600000,27600,2,3,58,2025-02-21,,Lägenhet,3836,2010,1695000,59
Industrigatan 2B,2150000,32100,2,3,67,2025-02-21,,Lägenhet,6489,1929,2195000,59
Lönngatan 44B,895000,19000,2,2,47,2025-02-21,,Lägenhet,3488,,895000,59
Tornfalksgatan 18,1100000,18300,2,3,60,2025-02-21,,Lägenhet,4208,1967,1175000,59
Baskemöllegatan 5H,1950000,24200,3,3,80,2025-02-21,,Lägenhet,5904,,1895000,59
Mariedalsvägen 55E,2275000,29000,3,4,78,2025-02-21,,Lägenhet,6282,1948,2395000,59
Magasinsgatan 7A,2050000,40200,2,2,51,2025-02-21,,Lägenhet,3722,2022,2050000,59
Erikslustvägen 36D,795000,49700,1,1,16,2025-02-21,,Lägenhet,1229,1953,795000,59
Regementsgatan 31B,2400000,46200,2,4,52,2025-02-20,,Lägenhet,3801,1942,2399950,59
Klågerupsvägen 311C,2075000,26900,3,1,77,2025-02-20,,Lägenhet,5362,1977,1995000,59
Västra Varvsgatan 7A,5600000,56600,4,3,99,2025-02-20,,Lägenhet,5639,2012,5795000,59
Carl Gustafs väg 13,2000000,38500,2,3,52,2025-02-20,,Lägenhet,4175,1950,1975000,59
Skvadronsgatan 18,3095000,43600,2,2,71,2025-02-20,,Lägenhet,3630,,3095000,59
Producentgatan 21,2030000,25700,3,2,79,2025-02-20,,Lägenhet,4777,,2095000,59
Dag Hammarskjölds Torg 9,4400000,75200,2,8,58,2025-02-20,,Lägenhet,3677,2016,4495000,59
Albinsrogatan 1C,2350000,28300,3,2,83,2025-02-20,,Lägenhet,6114,1994,2295000,59
Stadiongatan 55C,1395000,26300,2,6,53,2025-02-20,,Lägenhet,3486,1959,1395000,59
Kalkstensvägen 12,2175000,40900,2,2,53,2025-02-20,,Lägenhet,3702,2016,2250000,59
Per Albin Hanssons väg 56B,1700000,25400,3,8,67,2025-02-20,,Lägenhet,5555,,1749000,59
Vårgatan 3B,1800000,29500,3,2,61,2025-02-20,,Lägenhet,5346,1936,1895000,59
Kiviksgatan 7C,1620000,30600,2,2,53,2025-02-20,,Lägenhet,3982,1947,1595000,59
Tessins väg 18A,2245000,39000,2,4,57,2025-02-19,,Lägenhet,4969,1947,2295000,59
Sergels väg 5B,3995000,43000,4,2,93,2025-02-20,,Lägenhet,6393,1952,3995000,59
Hyregatan 8B,6450000,66500,3,,97,2025-02-19,,Lägenhet,5894,,6495000,60
Mäster Nilsgatan 24,1950000,48800,1,3,40,2025-02-19,,Lägenhet,2507,,1995000,60
Västra Skrävlingevägen 127,800000,13600,2,3,59,2025-02-19,,Lägenhet,3621,,795000,60
Albinsrogatan 57,1775000,30100,2,4,59,2025-02-19,,Lägenhet,4072,1966,1795000,60
Bagersgatan 4,3895000,33000,3,1,118,2025-02-19,,Lägenhet,8804,1907,3895000,60
Tärningholmsgatan 1,3195000,55100,2,4,58,2025-02-19,,Lägenhet,4460,1930,3195000,60
Ehrensvärdsgatan 18A,3570000,42600,3,4,83,2025-02-19,,Lägenhet,5048,1929,3295000,60
Västra Ryttmästaregatan 25,3775000,42900,3,1,88,2025-02-19,,Lägenhet,5740,1946,3695000,60
Lönngatan 60A,555000,21500,1,4,25,2025-02-19,,Lägenhet,1988,1945,595000,60
Portvaktsgatan 2,3100000,34800,3,3,89,2025-02-19,,Lägenhet,5082,,3195000,60
Kilian Zollsgatan 5A,3445000,53800,2,4,64,2025-02-19,,Lägenhet,5083,1939,3395000,60
Karlshamnsgatan 5,1550000,35100,1,4,44,2025-02-19,,Lägenhet,2416,1939,1595000,60
Krutmeijersgatan 10C,1660000,37700,2,4,44,2025-02-19,,Lägenhet,3669,,1695000,60
Möllevångsgatan 20B,2420000,37800,2,2,64,2025-02-19,,Lägenhet,3899,1939,2495000,60
Vitemöllegatan 12C,995000,20700,2,1,48,2025-02-19,,Lägenhet,3793,1946,995000,60
Kronolotsgatan 1,4495000,37800,4,3,119,2025-02-18,,Lägenhet,7190,,4495000,60
Ola Hanssonsgatan 3B,5050000,65600,3,4,77,2025-02-18,,Lägenhet,,,,60
Balladgatan 51,1350000,16600,3,8,81,2025-02-19,,Lägenhet,5030,1970,1495000,60
Köpenhamnsvägen 42A,1575000,42000,1,1,37,2025-02-18,,Lägenhet,2744,1951,1595000,60
Höstgatan 39,1600000,31400,2,2,51,2025-02-18,,Lägenhet,3863,1937,1700000,60
Båstadsgatan 18A,3750000,39100,4,1,96,2025-02-18,,Lägenhet,6177,1958,3495000,60
Salongsgatan 21A,6150000,50400,4,1,122,2025-02-18,,Lägenhet,6494,2002,5995000,60
Ahrenbergsgatan 12,2200000,31400,3,3,70,2025-02-18,,Lägenhet,6254,,2195000,60
Lugna gatan 76,2850000,34800,3,1,82,2025-02-18,,Lägenhet,5713,1978,2995000,60
Branteviksgatan 8D,1050000,20800,2,,50,2025-02-18,,Lägenhet,3602,1956,1095000,60
Balladgatan 45,780000,17300,2,2,45,2025-02-18,,Lägenhet,3102,1971,845000,60
Sankt Knuts väg 6A,1600000,41300,1,4,38,2025-02-18,,Lägenhet,2318,1931,1650000,60
Köpenhamnsvägen 42B,3350000,43800,3,3,76,2025-02-18,,Lägenhet,5032,,3295000,60
Nobelvägen 147H,1130000,21700,2,6,52,2025-02-18,,Lägenhet,4488,1938,1195000,60
Von Lingens väg 41,995000,12200,3,7,81,2025-02-18,,Lägenhet,6267,1968,1045000,60
Hantverkaregatan 19A,2495000,43000,2,,58,2025-02-18,,Lägenhet,3746,1929,2595000,60
Albinsrogatan 5A,2500000,29800,3,15,84,2025-02-18,,Lägenhet,5544,1965,2595000,60
Vitemöllegatan 16A,795000,21500,1,2,37,2025-02-18,,Lägenhet,3083,1958,795000,60
Lönngatan 60A,895000,17100,2,4,52,2025-02-18,,Lägenhet,3837,1945,895000,60
Erikslustvägen 30C,1630000,27600,2,1,59,2025-02-18,,Lägenhet,4181,1953,1650000,60
Södra Förstadsgatan 48,1950000,31000,2,2,63,2025-02-17,,Lägenhet,5227,1991,1995000,61
Eslövsgatan 2B,1995000,35600,2,,56,2025-02-17,,Lägenhet,,,,61
Grönalundsgatan 13B,1700000,28300,2,3,60,2025-02-18,,Lägenhet,4673,1954,1795000,61
Tärningholmsgatan 5B,4295000,47700,4,1,90,2025-02-17,,Lägenhet,4438,1979,4295000,61
Södra Förstadsgatan 81A,1595000,48300,1,3,33,2025-02-17,,Lägenhet,1853,1939,1595000,61
Tornfalksgatan 1B,1150000,18000,2,2,64,2025-02-17,,Lägenhet,3570,1964,1195000,61
Kolsyregatan 7,3930000,45700,3,5,86,2025-02-17,,Lägenhet,5425,2018,3795000,61
Verkstadsgatan 1A,5325000,61900,3,3,86,2025-02-17,,Lägenhet,6555,1895,5495000,61
Segevångsgatan 21B,1100000,13500,4,2,81,2025-02-17,,Lägenhet,,,,61
Nobelvägen 3A,1000000,20000,2,1,50,2025-02-17,,Lägenhet,3690,1937,1095000,61
Per Albin Hanssons väg 56B,695000,29600,1,6,23,2025-02-17,,Lägenhet,2678,1957,695000,61
Kronetorpsgatan 52A,1200000,16800,3,5,71,2025-02-17,,Lägenhet,5975,1960,1195000,61
Allétorget 2,3350000,40900,3,5,82,2025-02-17,,Lägenhet,5098,,3495000,61
Industrigatan 17A,2450000,33600,3,1,73,2025-02-17,,Lägenhet,4035,2019,2395000,61
Mäster Nilsgatan 14,3650000,46800,3,3,78,2025-02-17,,Lägenhet,4891,1971,3495000,61
Knopgränd 1A,1900000,52800,1,6,36,2025-02-17,,Lägenhet,2995,2020,1950000,61
Simrishamnsgatan 34B,2800000,36800,2,3,76,2025-02-17,,Lägenhet,4784,1929,2750000,61
Aktrisgatan 20,1410000,21900,2,1,64,2025-02-17,,Lägenhet,4123,1973,1495000,61
Kronetorpsgatan 60B,960000,17600,2,3,54,2025-02-17,,Lägenhet,3976,1961,995000,61
Carlsgatan 35,1595000,53200,1,13,30,2025-02-16,,Lägenhet,2458,,1595000,61
Humanistgatan 8B,860000,15000,2,2,57,2025-02-16,,Lägenhet,2789,1963,850000,61
Västra Varvsgatan 21B,3150000,44400,3,4,71,2025-02-16,,Lägenhet,5647,2016,3295000,61
Köpenhamnsvägen 45A,1900000,31900,2,6,59,2025-02-16,,Lägenhet,5123,1952,1895000,61
Korsörvägen 8A,2800000,41400,3,1,67,2025-02-16,,Lägenhet,5481,1947,2800000,61
Erikslustvägen 34B,2295000,34800,3,2,66,2025-02-16,,Lägenhet,4650,1953,2295000,61
Lugna gatan 54,3500000,35000,4,2,100,2025-02-16,,Lägenhet,7685,1978,3595000,61
Östra Bernadottesgatan 56B,5800000,35600,5,3,163,2025-02-16,,Lägenhet,10156,1929,5995000,61
Amiralsgatan 92B,1450000,23600,2,4,61,2025-02-16,,Lägenhet,4141,1954,1495000,61
Grönalundsgatan 32D,2825000,23000,5,3,123,2025-02-16,,Lägenhet,7869,1954,2995000,61
Balladgatan 45,900000,20000,2,6,45,2025-02-16,,Lägenhet,3124,1971,950000,61
Randersvägen 24B,1775000,29800,2,1,59,2025-02-16,,Lägenhet,5677,1948,1775000,61
Kiviksgatan 8A,1650000,26400,2,,62,2025-02-15,,Lägenhet,5827,1946,1595000,61
Kapellgatan 4,6000000,42300,5,2,142,2025-02-15,,Lägenhet,7870,1912,5995000,61
Kvartettgatan 46,1335000,13800,4,2,97,2025-02-15,,Lägenhet,7133,1972,1345000,61
Kronetorpsgatan 52B,805000,21200,2,5,38,2025-02-15,,Lägenhet,3681,1960,795000,61
Estlandsgatan 5A,1100000,18800,2,2,58,2025-02-15,,Lägenhet,3638,1957,1150000,62
Neptunigatan 75,3995000,54000,3,7,74,2025-02-15,,Lägenhet,5669,2023,3995000,62
Falsterbogatan 12B,1500000,41700,1,2,36,2025-02-15,,Lägenhet,2900,1936,1550000,62
Vimpelgatan 35,3300000,55500,2,1,59,2025-02-15,,Lägenhet,3480,2008,2895000,62
Håkanstorpsvägen 1D,2050000,25900,3,2,79,2025-02-15,,Lägenhet,6298,2000,1995000,62
Limhamnsvägen 12B,4375000,59900,3,2,73,2025-02-15,,Lägenhet,4817,1948,4495000,62
Sankt Knuts väg 4A,4600000,49100,3,5,93,2025-02-14,,Lägenhet,6064,1929,4250000,62
Sankt Johannesgatan 3F,4725000,54900,3,6,86,2025-02-14,,Lägenhet,5062,2012,4725000,62
Carl Flormansgatan 19,2550000,31500,3,3,81,2025-02-14,,Lägenhet,6748,2017,2595000,62
Berguvsgatan 6A,1025000,17800,2,7,57,2025-02-14,,Lägenhet,3636,1962,950000,62
Sölvesborgsgatan 10,2220000,37000,2,3,60,2025-02-14,,Lägenhet,4886,1937,2150000,62
Branteviksgatan 20,1460000,18400,3,3,79,2025-02-14,,Lägenhet,5203,1972,1495000,62
Tulpangatan 12,1130000,14000,3,1,81,2025-02-14,,Lägenhet,5387,1973,1195000,62
Östra Kristinelundsvägen 16B,2500000,44600,2,2,56,2025-02-14,,Lägenhet,3464,,2495000,62
Cyklopgatan 35B,1180000,38100,1,2,31,2025-02-14,,Lägenhet,2620,2023,1215000,62
Falkmansgatan 7B,2850000,31100,4,2,91,2025-02-14,,Lägenhet,5434,1958,2995000,62
Södra Tennisgränd 21,2110000,36400,3,4,58,2025-02-14,,Lägenhet,3768,2021,1995000,62
Kapellgatan 8,6700000,41900,6,5,160,2025-02-14,,Lägenhet,7071,1907,6495000,62
Karlskronaplan 5,2275000,29200,3,1,78,2025-02-14,,Lägenhet,6059,1936,2395000,62
Ryttaregatan 3C,2200000,26500,4,3,83,2025-02-14,,Lägenhet,7452,1952,2095000,62
Östra Bernadottesgatan 38B,1495000,28800,2,1,52,2025-02-14,,Lägenhet,4620,1943,1495000,62
Bolagsgatan 4,3380000,35800,4,1,94,2025-02-14,,Lägenhet,7118,1989,3495000,62
Saarisvägen 4A,1280000,22600,2,4,56,2025-02-14,,Lägenhet,3851,1942,1295000,62
Majorsgatan 10,3300000,38400,3,3,86,2025-02-14,,Lägenhet,5547,1983,3395000,62
Vetefältsgatan 13,1995000,37600,2,2,53,2025-02-14,,Lägenhet,4357,2024,1995000,62
Lönngatan 60B,995000,21400,2,1,46,2025-02-14,,Lägenhet,3338,1945,995000,62
Nobelvägen 147M,1995000,27700,3,4,72,2025-02-14,,Lägenhet,5796,1939,2050000,62
Herrestadsgatan 3B,2150000,51200,2,4,42,2025-02-14,,Lägenhet,3302,,1995000,62
Kronborgsvägen 18A,1575000,32100,2,3,49,2025-02-14,,Lägenhet,5199,1946,1595000,62
Amiralsgatan 89C,1375000,26400,2,3,52,2025-02-14,,Lägenhet,3913,1955,1395000,62
Vougts väg 3,550000,6500,3,8,84,2025-02-14,,Lägenhet,7365,1971,695000,62
Annebergsgatan 5A,4000000,32500,5,3,123,2025-02-14,,Lägenhet,7803,1964,3995000,62
Kronetorpsgatan 66C,995000,17600,2,3,56,2025-02-14,,Lägenhet,3866,1961,995000,62
Hyacintgatan 21,1350000,16700,3,,81,2025-02-13,,Lägenhet,,,,62
Fernissagatan 16,2895000,43200,3,4,67,2025-02-14,,Lägenhet,5324,2018,2895000,62
Davidshallsgatan 15,2130000,64500,1,4,33,2025-02-13,,Lägenhet,,,,63
Sankt Johannesgatan 3F,7000000,62500,4,4,112,2025-02-13,,Lägenhet,6179,2012,6895000,63
Drottninggatan 6B,1095000,37800,1,6,29,2025-02-13,,Lägenhet,2703,1935,1095000,63
Nordlinds väg 94B,3095000,39200,3,1,79,2025-02-13,,Lägenhet,5965,1954,3095000,63
Albinsrogatan 5A,1850000,28900,2,17,64,2025-02-13,,Lägenhet,4550,1965,1695000,63
Köpenhamnsvägen 42C,3195000,41800,3,6,76,2025-02-13,,Lägenhet,5032,1951,2995000,63
Nicoloviusgatan 10B,2500000,42400,2,8,59,2025-02-13,,Lägenhet,3323,1974,2695000,63
Ormvråksgatan 21,1595000,17800,3,3,89,2025-02-13,,Lägenhet,6374,1968,1595000,63
Vitemöllegatan 4F,1245000,23900,2,4,52,2025-02-13,,Lägenhet,4383,1944,1195000,63
Möllevångsgatan 39,3100000,43700,2,5,71,2025-02-13,,Lägenhet,4621,1910,3095000,63
Västra Skrävlingevägen 199,910000,15400,2,2,59,2025-02-13,,Lägenhet,3621,1969,995000,63
Producentgatan 11,1675000,26000,2,3,64,2025-02-13,,Lägenhet,4110,1972,1695000,63
Portvaktsgatan 2,2885000,36500,3,4,79,2025-02-13,,Lägenhet,4717,2017,2995000,63
Sjöblads väg 43,900000,15100,2,3,59,2025-02-13,,Lägenhet,4630,1968,950000,63
Döbelnsgatan 3A,2550000,40500,2,2,63,2025-02-13,,Lägenhet,4120,1928,2595000,63
Rådmansgatan 15A,2200000,44900,2,4,49,2025-02-13,,Lägenhet,4089,1945,2295000,63
Södra Förstadsgatan 121C,1475000,31800,2,2,46,2025-02-13,,Lägenhet,3148,1939,1495000,63
Rödkullastigen 3B,1150000,14400,3,3,80,2025-02-13,,Lägenhet,6157,1959,1295000,63
Torekovsgatan 22D,1295000,33200,1,3,39,2025-02-13,,Lägenhet,3278,1940,1295000,63
Mor Marnas väg 96D,2395000,33300,2,2,72,2025-02-13,,Lägenhet,4737,,2395000,63
Västra Skrävlingevägen 117,1680000,20900,3,2,80,2025-02-13,,Lägenhet,4575,1970,1699000,63
Högatan 11,2650000,34400,3,3,77,2025-02-13,,Lägenhet,6115,2018,2695000,63
Roslins väg 7,4350000,56500,3,2,77,2025-02-13,,Lägenhet,,,,63
Själlandstorget 2B,2075000,35800,2,3,58,2025-02-13,,Lägenhet,4996,1944,2095000,63
Västra Skrävlingevägen 209,1300000,22000,2,3,59,2025-02-13,,Lägenhet,3621,,1250000,63
Signalgatan 15,3400000,52300,2,,65,2025-02-12,,Lägenhet,,,,63
Neptunigatan 71,2575000,50500,2,4,51,2025-02-12,,Lägenhet,4389,,2550000,63
Falkmansgatan 5B,2825000,37400,3,4,75,2025-02-12,,Lägenhet,4472,1958,2595000,63
Klågerupsvägen 313I,1895000,24600,3,2,77,2025-02-12,,Lägenhet,4110,1977,1995000,63
Stora Trädgårdsgatan 3A,3260000,42900,3,3,76,2025-02-12,,Lägenhet,4022,1971,3095000,63
Per Albin Hanssons väg 54B,1650000,24300,3,3,68,2025-02-12,,Lägenhet,5452,1958,1695000,63
Signalgatan 15,3400000,52300,2,1,65,2025-02-12,,Lägenhet,5996,,3500000,63
Sivs gränd 9B,1850000,41100,2,4,45,2025-02-12,,Lägenhet,2840,2019,1895000,63
Lektorsgatan 3A,1475000,19300,3,3,76,2025-02-12,,Lägenhet,5272,1964,1545000,63
Lilla Varvsgatan 21E,2400000,49000,2,3,49,2025-02-12,,Lägenhet,4137,2017,2495000,63
Västra Ryttmästaregatan 25,3650000,45900,3,3,79,2025-02-12,,Lägenhet,5626,1946,3695000,64
Sallerupsvägen 10,2895000,38100,3,2,76,2025-02-12,,Lägenhet,4283,1926,2895000,64
Nobelvägen 10A,1250000,28400,2,4,44,2025-02-12,,Lägenhet,2962,1939,1295000,64
Fågelbacksgatan 31,3100000,40800,2,3,76,2025-02-12,,Lägenhet,5302,1943,3195000,64
Västanväg 53C,2545000,37200,3,3,68,2025-02-12,,Lägenhet,4219,1949,2545000,64
Östra Ryttmästaregatan 15B,2125000,38600,2,3,55,2025-02-12,,Lägenhet,4022,1947,2095000,64
Blåsebergavägen 7,2600000,36100,3,1,72,2025-02-12,,Lägenhet,4987,2016,2695000,64
Carlsgatan 7F,2325000,51700,1,3,45,2025-02-12,,Lägenhet,2968,2019,2495000,64
Bellevuevägen 2C,2100000,37800,2,1,55,2025-02-12,,Lägenhet,3257,1948,2195000,64
Lönnebergagatan 65,2200000,29300,3,2,75,2025-02-12,,Lägenhet,5533,2020,2295000,64
Branteviksgatan 12C,1795000,24300,3,2,74,2025-02-12,,Lägenhet,4987,1956,1695000,64
Bragegatan 5A,1125000,21800,2,1,51,2025-02-12,,Lägenhet,3094,1944,1195000,64
Regementsgatan 78,3230000,48200,2,3,67,2025-02-12,,Lägenhet,3696,1939,2995000,64
Ahrenbergsgatan 21,3495000,29900,5,,117,2025-02-12,,Lägenhet,6500,2019,3495000,64
Karolingatan 6,2000000,23500,3,7,85,2025-02-12,,Lägenhet,5629,1968,2095000,64
Disponentgatan 27,1760000,38300,2,3,46,2025-02-12,,Lägenhet,4054,1931,1795000,64
Jörgen Ankersgatan 16B,2645000,49900,2,2,53,2025-02-12,,Lägenhet,4547,1898,2695000,64
Tessins väg 19B,4695000,43100,4,5,109,2025-02-11,,Lägenhet,5650,1957,4695000,64
Västra Rönneholmsvägen 79B,2150000,37700,2,1,57,2025-02-11,,Lägenhet,4628,1946,2095000,64
Hässleholmsgatan 5B,1500000,35300,1,2,42,2025-02-11,,Lägenhet,2806,1937,1395000,64
Östra Förstadsgatan 35A,4000000,43000,3,5,93,2025-02-11,,Lägenhet,5325,1933,3795000,64
Kristianstadsgatan 15,2850000,36100,3,2,79,2025-02-11,,Lägenhet,6125,1934,2650000,64
Båstadsgatan 15,1400000,27500,2,4,51,2025-02-11,,Lägenhet,3657,1955,1450000,64
Vårgatan 17,1925000,33800,2,4,57,2025-02-11,,Lägenhet,3965,1934,1995000,64
Lundavägen 41,2050000,29700,3,3,69,2025-02-11,,Lägenhet,5928,2014,1995000,64
Amiralsgatan 88B,1470000,27700,2,2,53,2025-02-11,,Lägenhet,4576,,1495000,64
Dockgatan 3A,5100000,56700,3,4,90,2025-02-11,,Lägenhet,4667,2009,4995000,64
Sundholmsgatan 12A,2180000,39300,2,2,55,2025-02-11,,Lägenhet,3855,2019,2250000,64
Nobelvägen 10B,1250000,30500,1,2,41,2025-02-11,,Lägenhet,2751,1939,1295000,64
Vendelsfridsgatan 6A,2100000,25300,4,3,83,2025-02-11,,Lägenhet,4775,1959,2095000,64
Slussgatan 12E,4595000,38300,4,4,120,2025-02-11,,Lägenhet,5506,1899,4595000,64
Serenadgatan 27,1150000,16000,3,9,72,2025-02-11,,Lägenhet,5015,1972,1050000,64
Sergels väg 5C,2400000,45300,2,3,53,2025-02-11,,Lägenhet,4133,1952,2345000,64
Amiralsgatan 40,3425000,42300,3,4,81,2025-02-11,,Lägenhet,4647,1930,3495000,64
Sofielundsvägen 48B,1445000,35200,2,4,41,2025-02-11,,Lägenhet,3640,1937,1495000,64
Rådmansgatan 3A,3800000,47500,2,2,80,2025-02-11,,Lägenhet,4023,1909,3995000,65
Per Albin Hanssons väg 55B,2450000,28200,4,5,87,2025-02-10,,Lägenhet,5792,1972,2295000,65
Döbelnsgatan 4,2400000,29300,3,1,82,2025-02-11,,Lägenhet,6737,1935,2495000,65
Carlsgatan 35,1595000,53200,1,12,30,2025-02-10,,Lägenhet,2458,,1595000,65
Simrishamnsgatan 34A,4495000,46800,4,1,96,2025-02-10,,Lägenhet,6043,1929,4495000,65
Bullerbygatan 115,2900000,27900,4,2,104,2025-02-10,,Lägenhet,7956,2013,2995000,65
Carl Herslowsgatan 9B,4900000,56300,4,3,87,2025-02-10,,Lägenhet,5954,1945,4795000,65
Kastellgatan 8,6400000,50800,3,2,126,2025-02-10,,Lägenhet,,,,65
Sallerupsvägen 32I,1300000,27100,2,2,48,2025-02-10,,Lägenhet,3601,1942,1250000,65
Vitemöllegatan 5A,1445000,29700,2,4,48,2025-02-10,,Lägenhet,3498,1944,1495000,65
Mariedalsvägen 56E,2495000,34200,3,3,73,2025-02-10,,Lägenhet,6391,1949,2495000,65
Konduktörsgatan 5,2995000,33700,3,5,89,2025-02-10,,Lägenhet,6099,1930,2995000,65
Blåsebergavägen 21,1995000,37600,2,2,53,2025-02-10,,Lägenhet,4495,2022,1995000,65
Tulpangatan 2,795000,16400,2,8,48,2025-02-10,,Lägenhet,3762,,785000,65
Köpenhamnsvägen 45A,2295000,39600,2,1,58,2025-02-10,,Lägenhet,4835,1952,2295000,65
Köpenhamnsvägen 5C,1925000,33200,2,4,58,2025-02-10,,Lägenhet,4361,1946,2095000,65
Amiralsgatan 87C,1325000,24500,2,3,54,2025-02-10,,Lägenhet,4180,1947,1395000,65
Stora Varvsgatan 39,4695000,61800,4,10,76,2025-02-09,,Lägenhet,5964,2022,4795000,65
Bodekullsgatan 34A,1495000,24500,2,2,61,2025-02-09,,Lägenhet,4142,1958,1495000,65
Vårgatan 17,2525000,36100,3,2,70,2025-02-09,,Lägenhet,4869,1935,2495000,65
Södervärnsgatan 3B,900000,37500,1,1,24,2025-02-09,,Lägenhet,1595,1964,945000,65
Berguvsgatan 2A,1250000,21700,2,2,57,2025-02-09,,Lägenhet,3640,1962,1295000,65
Skomakaregatan 10A,3425000,58100,2,2,59,2025-02-09,,Lägenhet,4377,2008,3495000,65
Aktrisgatan 14,2550000,27000,4,2,94,2025-02-09,,Lägenhet,5596,1972,2595000,65
